Url,Title,Country,City,IP,Port,Server,Protocol
222.216.109.125:8060,YONYOU NC,China,,222.216.109.125,8060,Apache-Coyote/1.1,
119.23.251.235:8081,YONYOU NC,China,,119.23.251.235,8081,Apache-Coyote/1.1,
103.233.52.62:8025,Yonyou NC,China,,103.233.52.62,8025,Apache-Coyote/1.1,
124.65.98.142:8090,YONYOU NC,China,Beijing,124.65.98.142,8090,Apache-Coyote/1.1,
58.18.36.59,YONYOU NC,China,,58.18.36.59,80,IBM_HTTP_Server,
183.62.230.55:8090,YONYOU NC,China,Guangzhou,183.62.230.55,8090,Apache-Coyote/1.1,
139.196.196.243:9080,YONYOU NC,China,,139.196.196.243,9080,WebSphere Application Server/8.5,
61.130.98.190:8001,YONYOU NC,China,Ningbo,61.130.98.190,8001,Apache-Coyote/1.1,
221.230.131.114:88,YONYOU NC,China,,221.230.131.114,88,Apache-Coyote/1.1,
123.127.76.33:8085,YONYOU NC,China,Beijing,123.127.76.33,8085,Apache-Coyote/1.1,
222.94.221.180:8888,YONYOU NC,China,Nanjing,222.94.221.180,8888,Apache-Coyote/1.1,
112.54.36.70:8085,Yonyou UAP,China,,112.54.36.70,8085,Apache-Coyote/1.1,
218.94.116.82:8111,YONYOU NC,China,Nanjing,218.94.116.82,8111,Apache-Coyote/1.1,
116.21.176.242:82,YONYOU NC,China,Guangzhou,116.21.176.242,82,Apache-Coyote/1.1,
182.43.146.224:5001,YONYOU NC,China,,182.43.146.224,5001,Apache-Coyote/1.1,
183.63.80.66:8888,YONYOU NC,China,Guangzhou,183.63.80.66,8888,Apache-Coyote/1.1,
117.156.130.105:8888,用户登录,China,,117.156.130.105,8888,,
https://49.233.9.93,Yonyou UAP,China,,49.233.9.93,443,Apache,
60.220.238.152:8089,YONYOU NC,China,,60.220.238.152,8089,Apache-Coyote/1.1,
61.175.244.139:9999,Yonyou UAP,China,,61.175.244.139,9999,Apache-Coyote/1.1,
171.221.174.2:8090,Yonyou NC,China,Chengdu,171.221.174.2,8090,Apache-Coyote/1.1,
183.91.146.35,Yonyou UAP,China,Beijing,183.91.146.35,80,Apache-Coyote/1.1,
